tree_file_name;leaf_dist;agree_with_etalon
Puzzle_filtered//PF02854_2.tre;"6;8;7;9;10;10;8;7;5;3;3;1;1;3;3;2;3;6;6;9;9;8;9;9;8;7;8;9;10;10";"1;9;9;9;9;7;8;8;7;5;11;11;10;10;10;8;10;10;9;8;6;6;6;3;4;4;3;2;2;1";90.9
Puzzle_filtered//PF02854_2.tre;"5;8;7;9;10;10;8;7;5;3;3;2;2;2;2;1;3;6;6;9;9;8;9;9;8;7;8;9;10;10";"None";33.6
Puzzle_filtered//PF02854_2.tre;"4;9;8;10;11;11;9;8;6;4;4;3;3;1;1;1;4;7;7;10;10;9;10;10;9;8;9;10;11;11";"2;9;9;9;9;7;8;8;7;5;11;11;10;10;10;8;10;10;9;8;6;6;6;3;4;4;3;1;1;2";79.1
Puzzle_filtered//PF02854_2.tre;"3;6;5;7;8;8;6;5;3;5;5;6;6;7;7;6;3;1;1;5;5;4;5;5;4;3;4;5;6;6";"6;7;7;7;7;5;6;6;5;3;7;7;6;6;6;4;6;6;5;4;2;1;1;3;6;6;5;6;6;6";98.9
Puzzle_filtered//PF02854_2.tre;"4;7;6;8;9;9;7;6;4;6;6;7;7;8;8;7;4;3;3;3;3;2;3;3;2;2;3;4;5;5";"8;9;9;9;9;7;8;8;7;5;4;4;3;3;3;1;4;4;3;2;2;4;4;5;8;8;7;8;8;8";98.7
Puzzle_filtered//PF02854_2.tre;"3;8;7;9;10;10;8;7;5;7;7;8;8;9;9;8;5;4;4;2;2;1;3;3;2;3;4;5;6;6";"None";60.9
Puzzle_filtered//PF02854_2.tre;"2;9;8;10;11;11;9;8;6;8;8;9;9;10;10;9;6;5;5;1;1;1;4;4;3;4;5;6;7;7";"10;11;11;11;11;9;10;10;9;7;3;3;2;1;1;2;6;6;5;4;4;6;6;7;10;10;9;10;10;10";74.0
Puzzle_filtered//PF02854_2.tre;"2;8;7;9;10;10;8;7;5;7;7;8;8;9;9;8;5;4;4;3;3;2;2;2;1;3;4;5;6;6";"10;11;11;11;11;9;10;10;9;7;2;2;1;2;2;2;6;6;5;4;4;6;6;7;10;10;9;10;10;10";98.0
Puzzle_filtered//PF02854_2.tre;"1;9;8;10;11;11;9;8;6;8;8;9;9;10;10;9;6;5;5;4;4;3;1;1;1;4;5;6;7;7";"None";56.6
Puzzle_filtered//PF01569_1.tre;"9;6;7;7;6;4;7;7;7;7;9;9;8;10;10;9;8;7;8;8;8;8;7;7;7;5;2;1;1;1";"8;7;7;6;6;6;4;1;1;1;3;3;4;11;11;11;11;9;10;10;9;7;9;9;8;7;7;7;7;8";83.9
Puzzle_filtered//PF01569_1.tre;"8;5;6;6;5;3;6;6;6;6;8;8;7;9;9;8;7;6;7;7;7;7;6;6;6;4;1;1;2;2";"7;6;6;5;5;5;3;1;2;2;2;2;3;10;10;10;10;8;9;9;8;6;8;8;7;6;6;6;6;7";61.5
