tree_file_name;leaf_dist;agree_with_etalon
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00005_3.tre;"3;4;3;2;3;3;5;5;4;3;1;2;3;4;4";"None";21.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00005_3.tre;"4;5;4;3;2;2;4;4;3;2;1;3;4;5;5";"4;4;4;4;2;2;4;4;3;1;3;3;3;4;4";22.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00005_3.tre;"6;6;5;4;1;1;4;4;3;2;2;4;5;6;6";"6;6;6;6;4;4;6;6;5;2;1;1;2;3;3";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00005_3.tre;"5;6;5;4;2;2;3;3;2;1;2;4;5;6;6";"None";27.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00005_3.tre;"6;7;6;5;3;3;2;2;1;1;3;5;6;7;7";"None";21.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00005_3.tre;"7;8;7;6;4;4;1;1;1;2;4;6;7;8;8";"None";26.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00676_1.tre;"1;7;7;6;5;4;4;4;6;6;5;4;3;1;1";"1;1;1;6;7;7;5;4;4;4;3;5;5;5;5";27.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00676_1.tre;"7;6;6;5;4;3;3;3;5;5;4;3;2;1;2";"2;2;1;5;6;6;4;3;3;3;2;4;4;4;4";34.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00676_1.tre;"6;5;5;4;3;2;2;2;5;5;4;3;2;2;3";"3;3;2;4;5;5;3;2;2;2;2;4;4;4;4";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00676_1.tre;"5;4;4;3;2;1;2;2;6;6;5;4;3;3;4";"4;4;3;3;4;4;2;1;2;2;3;5;5;5;5";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00676_1.tre;"4;3;3;2;1;1;3;3;7;7;6;5;4;4;5";"5;5;4;2;3;3;1;1;3;3;4;6;6;6;6";14.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00676_1.tre;"4;2;2;1;1;2;4;4;8;8;7;6;5;5;6";"None";22.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00676_1.tre;"3;1;1;1;2;3;5;5;9;9;8;7;6;6;7";"None";34.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00676_1.tre;"2;5;5;4;3;2;1;1;6;6;5;4;3;3;4";"4;4;3;4;5;5;3;2;1;1;3;5;5;5;5";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00676_1.tre;"3;6;6;5;4;3;3;3;4;4;3;2;1;2;3";"3;3;2;5;6;6;4;3;3;3;1;3;3;3;3";28.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00676_1.tre;"5;7;7;6;5;4;4;4;3;3;2;1;1;3;4";"4;4;3;6;7;7;5;4;4;4;1;2;2;2;2";30.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00676_1.tre;"4;8;8;7;6;5;5;5;2;2;1;1;2;4;5";"None";25.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00676_1.tre;"5;9;9;8;7;6;6;6;1;1;1;2;3;5;6";"5;5;4;7;8;8;6;5;5;5;2;2;2;1;1";44.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02879_1.tre;"5;9;9;8;7;7;7;6;6;5;5;3;2;1;1";"None";47.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02879_1.tre;"4;8;8;7;6;6;6;5;5;4;4;2;1;1;2";"4;2;2;1;1;6;7;7;5;5;5;4;4;3;4";47.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02879_1.tre;"3;7;7;6;5;5;5;4;4;3;3;1;1;2;3";"3;3;3;2;1;5;6;6;4;4;4;3;3;2;3";28.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02879_1.tre;"7;6;6;5;4;4;4;3;3;2;2;1;2;3;4";"None";15.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02879_1.tre;"6;5;5;4;3;3;3;2;2;2;2;2;3;4;5";"3;4;4;3;2;4;5;5;3;3;3;2;2;2;3";39.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02879_1.tre;"5;4;4;3;2;2;2;2;2;3;3;3;4;5;6";"4;5;5;4;3;3;4;4;2;2;2;2;2;3;4";46.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02879_1.tre;"5;3;3;2;1;2;2;3;3;4;4;4;5;6;7";"5;6;6;5;4;2;3;3;1;2;2;3;3;4;5";43.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02879_1.tre;"4;2;2;1;1;3;3;4;4;5;5;5;6;7;8";"None";35.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02879_1.tre;"4;1;1;1;2;4;4;5;5;6;6;6;7;8;9";"None";32.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02879_1.tre;"3;4;4;3;2;1;1;3;3;4;4;4;5;6;7";"5;6;6;5;4;3;4;4;2;1;1;3;3;4;5";31.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02879_1.tre;"2;5;5;4;3;3;3;1;1;3;3;3;4;5;6";"4;5;5;4;3;4;5;5;3;3;3;1;1;3;4";32.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02879_1.tre;"1;6;6;5;4;4;4;3;3;1;1;2;3;4;5";"None";18.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00338_1.tre;"8;8;8;8;6;5;6;6;5;4;4;2;1;1;1";"1;7;8;8;7;7;7;7;6;4;4;4;2;1;1";49.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00338_1.tre;"7;7;7;7;5;4;5;5;4;3;3;1;1;2;2";"None";42.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00338_1.tre;"7;6;6;6;4;3;4;4;3;2;2;1;2;3;3";"None";30.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00338_1.tre;"6;5;5;5;3;2;3;3;2;2;2;2;3;4;4";"4;4;5;5;4;4;4;4;3;1;2;2;2;3;4";33.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00338_1.tre;"7;4;4;4;2;1;3;3;2;3;3;3;4;5;5";"None";26.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00338_1.tre;"6;3;3;3;1;1;4;4;3;4;4;4;5;6;6";"6;2;3;3;2;2;3;3;2;2;4;4;4;5;6";17.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00338_1.tre;"5;2;2;2;1;2;5;5;4;5;5;5;6;7;7";"None";21.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00338_1.tre;"4;1;2;2;2;3;6;6;5;6;6;6;7;8;8";"7;2;3;3;1;1;4;4;3;3;5;5;5;6;7";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00338_1.tre;"4;2;1;1;2;3;6;6;5;6;6;6;7;8;8";"8;1;1;1;3;3;5;5;4;4;6;6;6;7;8";18.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00338_1.tre;"3;5;5;5;3;2;2;2;1;3;3;3;4;5;5";"6;3;4;4;3;3;2;2;1;2;4;4;4;5;6";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00338_1.tre;"2;6;6;6;4;3;1;1;1;4;4;4;5;6;6";"7;4;5;5;4;4;1;1;1;3;5;5;5;6;7";41.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF00338_1.tre;"1;6;6;6;4;3;4;4;3;1;1;2;3;4;4";"None";27.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF03367_2.tre;"6;7;7;6;7;7;6;5;5;3;4;4;3;1;1";"None";43.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF03367_2.tre;"5;6;6;5;6;6;5;4;4;2;3;3;2;1;2";"5;5;2;2;1;3;3;2;2;4;5;5;5;6;6";49.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF03367_2.tre;"6;5;5;4;5;5;4;3;3;1;3;3;2;2;3";"4;4;3;3;2;3;3;2;1;3;4;4;4;5;5";36.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF03367_2.tre;"5;4;4;3;4;4;3;2;2;1;4;4;3;3;4";"3;3;4;4;3;4;4;3;1;2;3;3;3;4;4";45.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF03367_2.tre;"4;3;3;2;3;3;2;2;2;2;5;5;4;4;5";"None";32.0
